name_en,name_ja,url
"ARC SYSTEM WORKS CO.,LTD.",アークシステムワークス株式会社,http://www.arcsystemworks.jp/
R-FORCE ENTERTAINMENT INC.,株式会社アールフォース･エンターテインメント,http://www.r-force.co.jp/
"IDEA FACTORY CO.,LTD.",アイディアファクトリー株式会社,http://www.ideaf.co.jp
IREM SOFTWARE ENGINEERING INC.,アイレムソフトウェアエンジニアリング株式会社,http://www.irem.co.jp
Akatsuki Inc.,株式会社アカツキ,http://aktsk.jp/
AXEL MARK INC.,アクセルマーク株式会社,http://www.axelmark.co.jp
ACQUIRE CORPORATION,株式会社アクワイア,http://www.acquire.co.jp
"ASPECT CO.,LTD.",株式会社アスペクト,http://www.asp-net.co.jp/
"ATLUS CO.,LTD.",株式会社アトラス,http://www.atlus.co.jp/
Aniplex Inc.,株式会社アニプレックス,http://www.aniplex.co.jp/
AMATA K.K.,あまた株式会社,http://amata.co.jp/
amazing Inc.,株式会社アメージング,http://www.amazing-game.co.jp/
"ARIKA CO.,LTD.",株式会社アリカ,http://www.arika.co.jp
ALPHA-UNIT CO.LTD,株式会社アルファ・ユニット,http://www.alpha-unit.ne.jp/
"Ambition co., Ltd.",株式会社アンビション,http://www.ambition.ne.jp/
"e-smile CO.,LTD.",イースマイル株式会社,http://www.e-smile.jpn.com/
"IMAGICA DIGITALSCAPE Co.,Ltd.",株式会社イマジカデジタルスケープ,http://corp.dsp.co.jp/
"ILINX, Inc.",株式会社イリンクス,http://www.ilinx.co.jp/
Intergrow Inc.,株式会社インターグロー,http://www.intergrow.co.jp/
"INTI CREATES Co.,Ltd.",株式会社インティ・クリエイツ,http://www.inti.co.jp/
"WINLIGHT Co.,Ltd. ",株式会社ウインライト,http://www.winlight.co.jp/index2.php
Wargaming Japan Ltd.,ウォーゲーミングジャパン株式会社,http://asia.wargaming.net/
The Walt Disney Company(Japan)Ltd. Disney Interactive Studios,ウォルト・ディズニージャパン株式会社ディズニー・インタラクティブ・スタジオ,http://www.disney.co.jp/
SNK CORPORATION,株式会社SNK,https://www.snk-corp.co.jp/
"Edia Co.,Ltd.",株式会社エディア,http://www.edia.co.jp
NHN comico Corp.,NHN JAPAN株式会社,http://www.nhn-comico.com/
Electronic Arts K.K.,エレクトロニック・アーツ株式会社,http://www.ea.com/jp/
OFFICE CREATE Corp.,株式会社オフィス・クリエイト,http://www.ofcr.co.jp
"KADOKAWA GAMES,LTD.",株式会社角川ゲームス,http://www.kadokawagames.co.jp/
"CAPCOM CO.,LTD.",株式会社カプコン,http://www.capcom.co.jp/
GANBAREL Inc.,株式会社ガンバレル,http://www.ganbarel.jp
"GungHo Online Entertainment,Inc.",ガンホー・オンライン・エンターテイメント株式会社,http://www.gungho.jp/
"Good-Feel Co.,Ltd.",株式会社グッド・フィール,http://www.good-feel.co.jp/
KLab Inc. ,KLab株式会社,http://www.klab.com/jp/
Granzella Inc.,株式会社グランゼーラ,http://granzella.co.jp/
"GREE, Inc.",グリー株式会社,http://www.gree.co.jp/
"CAVE Interactive CO.,LTD.",株式会社ケイブ,http://www.cave.co.jp/
"Genki Co.,Ltd.",元気株式会社,http://www.genki.co.jp/
"TECMO KOEI GAMES CO.,ãLTD.",株式会社コーエーテクモゲームス,http://www.koeitecmo.co.jp/
"Konami Digital Entertainment Co.,Ltd.",株式会社コナミデジタルエンタテインメント,https://www.konami.com/games/corporate/ja/
"COLOPL,Inc.",株式会社コロプラ,http://colopl.co.jp/
"Cygames, Inc.",株式会社Cygames,https://www.cygames.co.jp/
"ZZYZX,Inc.",ザイザックス株式会社,http://zzyzx.co.jp/
"CyberAgent, Inc.",株式会社サイバーエージェント,https://www.cyberagent.co.jp
"CyberStep,Inc.",サイバーステップ株式会社,http://corp.cyberstep.com/
"CYBIRD Co., Ltd.", 株式会社サイバード ,http://www.cybird.co.jp/
SUCCESS Corporation,株式会社サクセス,https://www.success-corp.co.jp/
"Safari Games Co.,Ltd",株式会社サファリゲームズ,http://www.safarigames.com
"Sammy Networks Co.,Ltd.",株式会社サミーネットワークス,http://www.sammy-net.jp/
"C&C; MEDIA CO,.LTD",株式会社シーアンドシーメディア,http://www.cc-media.co.jp/
Gee Plus Inc.,ジープラ株式会社,http://www.geeplus.jp/
"Gemdrops, Inc.",ジェムドロップ株式会社,http://www.gemdrops.co.jp/
SYSTEM 3 JAPAN LTD,株式会社システムスリージャパン,http://system3-japan.com/
SystemSoft Alpha Corporation,システムソフト・アルファー株式会社,http://www.ss-alpha.co.jp/
"C4on,inc.",株式会社シフォン,http://c4on.jp/
"SHIFT, Inc.",株式会社ＳＨＩＦＴ,http://www.shiftinc.jp/
Silicon Studio Corporation,シリコンスタジオ株式会社,http://www.siliconstudio.co.jp/
"SQUARE ENIX CO.,LTD.",株式会社スクウェア・エニックス,http://www.square-enix.com/jp/
"Studiofake Co,. Ltd.",株式会社スタジオフェイク,http://www.studiofake.co.jp/
"SPIKE CHUNSOFT CO.,LTD.",株式会社スパイク・チュンソフト,http://www.spike-chunsoft.co.jp/
SmileBoom Co.Ltd.,株式会社スマイルブーム,http://smileboom.com/
"SEGA GamesãCo.,Ltd.",株式会社セガゲームス,http://www.sega.jp/
ZeniMax Asia K.K.,ゼニマックス・アジア株式会社,http://bethsoft.com/ja
"Sotsu,Inc.",株式会社想通,http://so2.co.jp
Sony Interactive Entertainment Inc.,株式会社ソニー・インタラクティブエンタテインメント,http://www.sie.com
"Sonic Powered Co.,Ltd.",株式会社ソニックパワード,http://www.sonicpowered.co.jp/
Taito Corporation,株式会社タイトー,http://www.taito.co.jp/
"TOMY COMPANY,LTD.",株式会社タカラトミー,http://www.takaratomy.co.jp/
TAMSOFT CORPORATION,株式会社タムソフト,http://www.tamsoft.co.jp/
"DeNA Co., Ltd.",株式会社ディー・エヌ・エー,http://www.dena.jp/
"HyperTech Co., Ltd.",株式会社DNPハイパーテック,http://www.hypertech.co.jp/
D3PUBLISHER INC.,株式会社ディースリー・パブリッシャー,http://www.d3p.co.jp/
"Take-Two Interactive Japan Co.,Ltd.",テイクツー・インタラクティブ・ジャパン合同会社,http://take2games.jp/
DELiGHTWORKS Inc.,ディライトワークス株式会社,http://delightworks.jp/
DINGO.Inc.,株式会社ディンゴ,http://www.dingo.co.jp/
Dimps Corporation,株式会社ディンプス,http://www.dimps.co.jp/
"DIGITAL Hearts Co., LTD",株式会社デジタルハーツ,http://www.digitalhearts.co.jp/
"TENKY CO.,LTD.",有限会社テンキー,http://www.tenky.co.jp/
"Denyusha Co.,Ltd",株式会社電遊社,http://www.denyu-sha.co.jp/
"Drecom Co.,Ltd.",株式会社ドリコム,http://www.drecom.co.jp/
"DWANGO CO.,LTD.",株式会社ドワンゴ,http://info.dwango.co.jp/
"Now Production Co.,Ltd.",株式会社ナウプロダクション,http://www.nowpro.co.jp/
"Nisshinken co.,ltd.",株式会社日進研,http://www.nisshinken.com
"Microsoft Japan Co., Ltd.",日本マイクロソフト株式会社,http://www.xbox.com/ja-JP/
Netch.Co.Ltd.,株式会社ネッチ,http://netch-jpn.com
PAON DP Inc.,株式会社パオン・ディーピー,http://paon-dp.com/
HAMSTER Corporation,株式会社ハムスター,http://www.hamster.co.jp/
BANDAI NAMCO Entertainment Inc.,株式会社バンダイナムコエンターテインメント,http://bandainamcoent.co.jp/
BBB Corporation,株式会社BBB,http://www.bbbank.jp/
"PYGMY STUDIO CO., LTD.",株式会社ピグミースタジオ,http://www.pygmy.jp
"Fuji Games,Inc.",株式会社フジゲームス,http://fujigames.cool/
"FUJISHOJI CO., LTD",株式会社藤商事,https://www.fujimarukun.co.jp
FURYU CORPORATION,フリュー株式会社,http://www.furyu.jp/
"FlameHearts Co., Ltd.",株式会社フレイムハーツ,http://www.flamehearts.co.jp
Premium ARTS Inc.,株式会社プレミアムアーツ,http://chidori.premiumartsinc.com/
"Production I.G., Inc.",株式会社プロダクション・アイジー,http://www.production-ig.co.jp/
