"web-scraper-order","name_ja","company_games","company_description","address","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"アーヴォリオ"," content (W98)　サティア９５",,"〒530-0047　大阪市北区西天満5-1-5　西天満パークビル２号館６Ｆ　　06(6360)6210","[]","[]","http://13cm.product.co.jp/Aypio/","jp","Japan","N/A"
,"アーカムプロダクツ"," (W98)　色数向上委員会",,"〒065-0015　札幌市東区北15条東12-2-10　　011(742)8631","[]","[]","http://www.phoenix-c.or.jp/arkham/","jp","Japan","JP"
,"アーク"," (W98)　青春１８ラヂオ<br>",,"〒542-0081　大阪府大阪市中央区南船場3丁目6号1番 サイプレス心斎橋3F　06-4963-9907<br><br>","[]","[]","http://www.ark-soft.com/","com",,"US"
,"アークシステムワークス"," (PS.PS2.DC.W98.AC.ETC)　ウィザーズハーモニー",,"〒222-0033　横浜市港北区新横浜2-6-13　新横浜ステーションビル５Ｆ　　045(470)1550","[]","[]","http://www.arcsy.co.jp/","jp","Japan","N/A"
,"アージュ"," (W98)　化石の歌",,"〒101-0052　東京都千代田区神田小川町3-26-2","[]","[]","http://www.age-soft.co.jp/","jp","Japan","JP"
,"アースリープロダクション"," (PS.ETC)　モンスターコレクション",,"〒110-0016　東京都台東区台東1-10-12　台東１１０ビル６Ｆ　　03(3832)2574","[]","[]","http://earthly.co.jp/","jp","Japan","JP"
,"アーティファクト"," (W98)　ラヴィドシャトゥ",,"〒180-0006　東京都武蔵野市中町1-22-2　ナッツビル２Ｆ　　0422(37)4474","[]","[]","http://artifact.gr.jp/","jp","Japan","N/A"
,"アートゥーン"," (GB)　ピノビィーの大冒険",,"〒222-0033　横浜市港北区新横浜2-15-10　ＹＳ新横浜ビル６Ｆ　　045(470)4380","[]","[]","http://www.artoon.co.jp/","jp","Japan","N/A"
,"アートスケープ",,,"〒550-0006　大阪市西区江之子島1-7-3　奥内阿波座駅前ビル１４Ｆ　　06(4803)6910","[]","[]","http://www.artscape.co.jp/","jp","Japan","N/A"
,"アートディンク"," (PS.PS2.W98)　Ａ列車で行こう",,"〒261-8701　千葉市美浜区中瀬2-6　ＷＢＧマリブウエスト２１Ｆ　　043(299)7809","[]","[]","http://www.artdink.co.jp/","jp","Japan","JP"
,"Ａｂｅｌ　ＳＯＦＴＷＡＲＥ"," (W98)　エクソダスギルティー　オルタナティブ<br>",,"〒114-0013　東京都北区東田端1-13-10　ツインビル田端Ａ　3Ｆ<br><br>","[]","[]","http://www.abelsoftware-jp.com/","com",,"JP"
,"アールクラブ"," (W98)　ラブハザード",,"〒550-0003　大阪市西区京町堀1-8-35　グッドストックビル７Ｆ","[]","[]","http://www.art-club.co.jp/","jp","Japan","N/A"
,"アイジーエス"," (W98)　POWERBOAT Racing",,"〒221-0052　横浜市神奈川区栄町1-1　アーバンスクエア横浜　　045(451)5818","[]","[]","http://home.igs.co.jp/games/","jp","Japan","N/A"
,"アイシステム東京"," (PS)　ナイスオン",,"〒271-0091　千葉県松戸市本町18-4　シティビル２Ｆ　　047(362)1481","[]","[]","http://island.qqq.or.jp/hp/aisystem/","jp","Japan","N/A"
,"アイスナイン"," (W98)　ラブメーション",,"〒176-0006　東京都練馬区栄町12-2-505　　03(5946)7281","[]","[]","http://www.is9-game.com/","com",,"JP"
,"アイディアファクトリー"," (PS.PS2)　スペクトラルフォース",,"〒173-0026　東京都板橋区中丸町11-2　ワコーレ要町６Ｆ　　03(5995)4301","[]","[]","http://www.ideaf.co.jp/","jp","Japan","JP"
,"アイドス・インタラクティブ"," (PS.PS2.N64.W98.ETC)　トゥームレイダー３",,"〒150-0012　東京都渋谷区広尾1-10-4　越山ＬＫビル４Ｆ","[]","[]","http://www.eidos.co.jp/index-hi.html","jp","Japan","N/A"
,"アイフォー"," (PS.PS2.DC.N64.GB.W98.ETC)　ＡＩ将棋",,"〒141-8670　東京都品川区上大崎2-24-9　アイケイビルディング　　03(5436)7876","[]","[]","http://www.ifour.co.jp/","jp","Japan","N/A"
,"ｉｖｏｒｙ"," (W98)　雪の華<br>",,"〒160-0023　東京都新宿区西新宿4-5-1　幸伸ビル新宿2F　03(5354)8471<br><br>","[]","[]","http://www.ivory.co.jp/","jp","Japan","JP"
,"アイマジック"," (W98)　メビウスリンク",,"〒253-0041　神奈川県茅ヶ崎市茅ヶ崎2-1-38-505　　03(5770)5189","[]","[]","http://www.imagic.co.jp/","jp","Japan","JP"
,"ａｉａｓ"," (W98)　幻夢館<br>",,"〒110-0016　東京都台東区台東1-3-5<br><br>","[]","[]","http://www.aias-soft.com/","com",,"JP"
,"あいりゅ"," (W98)　Ｅｌｉｓｅ ～エリーゼ～",,"〒640-8483　和歌山市園部1018-2","[]","[]","http://www.ail-soft.com/airyu/","com",,"JP"
,"アイル"," (W98)　真瑠璃色の雪 ～ふりむけば隣に～",,"〒640-8483　和歌山市園部1018-2","[]","[]","http://www.ail-soft.com/","com",,"JP"
,"アイレムソフトウェアエンジニアリング"," (PS.PS2.AC.ETC)　Ｒ－ＴＹＰＥＳ",,"〒924-0051　石川県松任市福留町655　福留ビル　　076(277)3800","[]","[]","http://www.irem.co.jp/","jp","Japan","JP"
,"アウトバック"," (PS.GB.W98.AC.ETC)　童夢の野望",,"〒160-0022　東京都新宿区新宿2-11-2　カーサヴェルデ４Ｆ　　03(3341)4818","[]","[]","http://www.outback.co.jp/","jp","Japan","N/A"
,"アウトブレイク"," <br>(W98.ETC)　LAST WHISPER",,"<br>〒116-0014　東京都荒川区東日暮里3-18-4　野山ビル１Ｆ　　03(5604)1981","[]","[]","http://www.outbreak.co.jp/","jp","Japan","N/A"
,"アウトロー"," <br><br> (W98)　暴走！じゃすてぃす",,"〒660-0814　兵庫県尼崎市杭瀬本町1-17-5　上中ビル３０１号　　06(6482)4050","[]","[]","http://www.alpha-jp.co.jp/~out-law/","jp","Japan","N/A"
,"アキ"," (PS.DC.N64)　バーチャルプロレスリング",,"〒180-0004　東京都武蔵野市吉祥寺本町1-31-11　ＫＳビル１０Ｆ　　0422(29)7305","[]","[]","http://www.aki.co.jp/","jp","Japan","JP"
,"ａＱｕａ　Ｗａｖｅ"," (ETC)　夢魔～SUCCUBUS～<br>",,"〒162-0044　東京都新宿区喜久井町39番地　萩ビル　03(5292)9181<br><br>","[]","[]","http://www.aquawave.co.jp/","jp","Japan","N/A"
,"アクアシステム"," (PS.W98)　ジェットストリーム",,"〒860-0833　熊本県熊本市平成３丁目６番２０号　　096(379)5418","[]","[]","http://www.aquasystem.co.jp/","jp","Japan","N/A"
,"アクアハウス"," (W98)　すきスキお兄ちゃん<br>",,"〒110-0015　東京都台東区東上野3-33-8-701　03(3863)6328<br><br>","[]","[]","http://sumomo.m78.com/","com",,"N/A"
