"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049599-2555","May-Be SOFT",,,,,"http://www.lievre.jp/","jp","Japan","DE"
"1522049479-2156",,,,,,,,,
"1522049479-2163",,,,,,,,,
"1522049479-2204","郎猫儿(らんまーる)",,,,,"http://www.langmaor.com/","com",,"JP"
"1522049479-2147",,,,,,,,,
"1522049479-2245","ルネソフト",,,,,"http://www.lune-soft.jp/","jp","Japan","JP"
"1522049479-2129",,,,,,,,,
"1522049599-2459",,,,,,,,,
"1522049539-2401","ORBIT",,,,,"http://www.orbit-soft.com/","com",,"JP"
"1522049599-2467",,,,,,,,,
"1522049479-2200","ランダムハウス",,,,,"http://www.randomhouse.co.jp/","jp","Japan","N/A"
"1522049479-2203","ランプオブシュガー",,,,,"http://www.lumpofsugar.co.jp/","jp","Japan","JP"
"1522049539-2432","(株)レベルファイブ",,,,,"http://www.level5.co.jp/","jp","Japan","JP"
"1522049479-2240","ル・ショコラ",,,,,"http://www.saibunkan.co.jp/lechocolat/","jp","Japan","JP"
"1522049599-2512","マシス",,,,,"http://www.masys.co.jp/","jp","Japan","JP"
"1522049599-2545","みるくそふと",,,,,"http://home.milksoft.d-net.to/","to","Tonga","JP"
"1522049479-2135",,,,,,,,,
"1522049599-2542","美蕾（みらい）",,,,,"http://www.mirai-soft.com/","com",,"JP"
"1522049599-2540","Muscadet(ミュスカデ)",,,,,"http://muscadet-soft.com/","com",,"US"
"1522049539-2414","ルネlovesK",,,,,"http://www.marigold.co.jp/loves_k/","jp","Japan","JP"
"1522049539-2316",,,,,,,,,
"1522049599-2551","Mink EGO",,,,,"http://www.mink.co.jp/ego/","jp","Japan","JP"
"1522049539-2362","LOVEDELIVERY",,,,,"http://lovedelivery.biz/","biz",,"US"
"1522049539-2368","(株)ランド・ホー",,,,,"http://www.landho.co.jp/","jp","Japan","JP"
"1522049479-2244","ルネ",,,,,"http://www.marigold.co.jp/lune/","jp","Japan","JP"
"1522049539-2363","Lamia",,,,,"http://www.clearrave.co.jp/brand/brand_lamia.html","jp","Japan","JP"
"1522049539-2374","RealArcade(リアルアーケード)",,,,,"http://www.jp.realarcade.com/","com",,"JP"
"1522049539-2415","ルピナス",,,,,"http://www.if-lupinus.com/","com",,"JP"
"1522049599-2552","ムームー",,,,,"http://www.muumuu.com/","com",,"JP"
"1522049539-2341","LimeLight(ライムライト)",,,,,"http://limelight.product.co.jp/","jp","Japan","N/A"
"1522049539-2297",,,,,,,,,
"1522049539-2419","raiL-soft(レイルソフト)",,,,,"http://www.liar.co.jp/raiL/","jp","Japan","JP"
"1522049479-2142",,,,,,,,,
"1522049599-2484",,,,,,,,,
"1522049539-2291",,,,,,,,,
"1522049539-2322",,,,,,,,,
"1522049539-2329",,,,,,,,,
"1522049539-2307",,,,,,,,,
"1522049599-2457",,,,,,,,,
"1522049599-2476",,,,,,,,,
"1522049539-2445","Rosebleu(ロゼブル)",,,,,"http://www.rosebleu.jp/","jp","Japan","US"
"1522049599-2489",,,,,,,,,
"1522049599-2509","MAGI white(マギ・ホワイト)",,,,,"http://www.magi-soft.jp/","jp","Japan","JP"
"1522049539-2319",,,,,,,,,
"1522049599-2503","(有)マイトレジャー[My Treasure]",,,,,"http://www.my-tre.net/","net",,"N/A"
