web-scraper-order,name_en,company_games,company_description,company_descr_country,company_descr_city,link,top_level_domain,tld_country,link_geoip
1521882197-99,Mitchell,,"Mitchell Corporation (株式会社ミッチェル) is a company headed by Roy Ozaki (尾崎ロイ). [1] It was established on February 1, 1960, by his father and was originally involved in ship building. After his father died, Ozaki and his partner Koichi Niida (仁井田耕一), both of whom previously worked for Data East and TAD, took over in the late 1980s and began distributing arcade PCBs.[1]",[],[],,,,
1521882423-209,Fun Project,,"Fun Project, Inc. (株式会社ファン・プロジェクト) Appears to have splintered off of MagicalZoo (The Screamer), part of Stratford Computer Center, around 1986.",[],[],,,,
1521882484-239,Double Diamond Sports,,"Double Diamond Sports (true name Double Diamond Software, Inc.) was incorporated on May 14, 1993. [1] It was co-founded by Mark Lesser and Michael Brook. Most of the personnel (with the notable exception of Lesser) went on to Spectacular Games. [2]",[],['Most'],,,,
1521882542-267,Computer Magic,,"Computer Magic, Ltd. was a Long Island, New York, United States-based software house incorporated on February 26, 1980, and dissolved on September 28, 1994. [1] It is not to be confused with the Atari 2600 third-party publisher Computer Magic Inc. (aka CommaVid) [2] and is probably not to be confused with the publisher of Volcano for the ZX Spectrum.",['United States'],"['Long Island', 'New York']",,,,
1521882466-230,Eleca,,"Eleca Co., Ltd. (エレカ) or Electronics Application Co., Ltd. (株式会社エレクトロニクスアプリケーション) was established on December 3, 1980. [1] Sakae Hamada (濱田榮) was the president. [2]",[],[],,,,
1521882310-154,James Wickstead Design Associates,,"Product design and development company started in 1968. Based in Cedar Knolls, New Jersey.",[],[],http://www.wicksteaddesign.com/,,,
1521882628-309,Avit,,"Avit, Inc. (株式会社エイビット) was started by former members of Technos Japan's Niigata office. [1] It was originally established on December 27, 1995, as Audio Video Interactive Technology (株式会社オーディオ・ビデオ・インターラクティブ・テクノロジー) and was renamed Avit on March 21, 1996. [2]",[],['March'],,,,
1521882663-324,Arc Developments,,Not to be confused with the Japanese game developer Arc System Works,[],[],,,,
1521882492-243,Digital Dialect,,Development company started by Michael Case [1],[],[],,,,
1521881998-2,Sofmachine,,Not to be confused with Soft Machine,[],[],,,,
1521882525-259,Crosstalk,,Crosstalk Inc. (株式会社クロストーク) is a Hiroshima-based software company established in October 1979 and incorporated in May 1981. Kazuhisa Mitani (三谷和久) is the president. [1] [2],[],[],,,,
1521882437-216,Feelplus,,"feelplus Inc. (株式会社フィールプラス) was a Japanese game development company. It was originally established as Scarab (株式会社スカラベ) on May 1, 1992 [1], by UPL's Tsutomu Fuzisawa (藤沢勉), not long after that company went bankrupt. [2] After Tsutomu Fuzisawa passed away in 1998, his wife Noriko Fuzisawa (藤沢紀子), who had also worked at UPL, took charge of the company.",[],[],,,,
1521882053-29,Rit's,,"Rit's Co., Ltd. (有限会社リッツ) was established in June 1991 and incorporated in January 1992. Kensuke Suzuki (鈴木健介) is the president. [1]",[],[],,,,
1521882071-38,Radical Plan,,"Radical Plan Corp. (株式会社ラディカルプラン) was started in February 1991 by Kou Matsuda (松田康) after leaving Zap. [1] Evidence suggests this is the company that, as described by Harvest Moon creator Yasuhiro Wada, went under during the development of the original Harvest Moon after taking on too many projects. [2]",[],[],,,,
1521882324-161,ITDC,,"ITDC (International Technology Development Corporation) was a company in Santa Clara, California, United States, [1] founded [2] and headed by Roderick Macleod. [3]",['United States'],['Santa Clara'],,,,
1521882378-187,Helloween,,(有限会社ハロウィン) Tetsushi Nakamura (中村鉄嗣) and Takashi Kouno (河野隆司) seem to have been the core of this group.,[],[],,,,
1521882441-218,FACS Programming Services,,"FACS Programming Services, Inc. was a subsidiary of Ann Arbor, Michigan-based F.A.C.S. Inc. (assumed name of Finance, Accounting and Computer Service Inc. [1]). It was incorporated on September 1, 1985, and was located in Farmington Hills and later West Bloomfield Township, Michigan. [2]",[],"['Ann Arbor', 'Michigan', 'Farmington Hills', 'West Bloomfield Township', 'Michigan']",,,,
1521882041-23,Sakata SAS,,"Sakata SAS Co., Ltd. (酒田エス・エー・エス株式会社). Development subsidiary of SAS established in April 1985. [1] Primarily involved with programming, not so much the other aspects of game development (graphics, sound).",[],[],,,,
1521882630-310,Averett & Associates,,"Averett & Associates (referred herein as ""A&A"") consisted of husband and wife Ed Averett and Linda Averett. The name shows up in an feature from Video Games magazine about women in the video game industry. According to the article, Linda holds a degree in engineering physics and usually did the programming for A&A while Ed did the graphics. [1] However, it has been claimed elsewhere that Linda did not actually do any programming and was only given any credit by Ed so she would not feel left out. [2]",[],"['Linda', 'Linda']",,,,
1521882250-125,Magicpot,,"Magicpot Inc. (有限会社マジックポット) was established December 12, 2001 by Masahiko Sano (佐野正彦), previously of FlipFlop Productions. The company is based in Taito-ku, Tokyo.",[],['Tokyo'],,,,
1521882585-288,Boss Game Studios,,"Boss Game Studios, Inc. was based in Redmond, Washington. It was founded in 1994 as an ""independent offshoot"" of visual effects firm Boss Film Studios, which worked on such movies as Die Hard and Ghostbusters. [1] [2] [3] The company shut down in 2002, unable to find a publisher for its Xbox racing game. [4]",[],"['Redmond', 'Washington']",,,,
1521882365-181,Hot-B,,"Formerly the software planning section of advertising agency First Farmers, Hot-B Co., Ltd. (株式会社ホット・ビィ) was established as an independent company in 1983. [1] It is perhaps best remembered for its science fiction role-playing games and fishing games such as the Black Bass series. [2]",[],[],,,,
1521882711-346,Adventure Planning Service,,"Adventure Planning Service (冒険企画局, Bouken Kikaku Kyoku) was established on August 22, 1987, and is best known for tabletop RPGs and board games. It is also involved with book publishing, game development, graphic design, and event promotion. [1]",[],[],,,,
1521882468-231,EIM,,"EIM Ltd. (有限会社E.I.M) (""Entertainment Imagination and Magnificence"" [1]) was a game development company started by Kenji Eno (飯野賢治) after leaving Interlink. Frustrated with having to make games with licensed characters, he eventually shut it down. He would reemerge with another company, the more well-known Warp. [2]",[],[],,,,
1521882568-280,CAPS,,CAPS Inc. (有限会社キャプス),[],[],http://jp.linkedin.com/in/itohtak,,,
1521882112-58,Painting by Numbers,,"Painting by Numbers Limited was a Sheffield, England-based development company that consisted of Jay Beard, Chris Kerry, Steve Kerry, and Mark Rogers [1], all former members of Gremlin. They worked pretty much exclusively for Ocean and were later recruited to start up a new development team at Ocean of America. [2]",[],['Sheffield'],,,,
1521882566-279,Carpine,,"Carpine Inc. (株式会社カーパイン) was established July 1, 2005 in Setagaya, Tokyo by programmer Kureaki Takahashi (高橋呉明). Takahashi and most of the other staff previously worked at Dual.",[],"['Tokyo', 'Takahashi']",,,,
1521882193-97,Monolith,,Monolith Corp. (株式会社モノリス). Allegedly an SNK group company.,[],[],,,,
1521882328-163,Inter State,,"Inter State Co., Ltd. (株式会社インターステイト) was the consumer subsidiary of arcade game maker Kaneko. It was established in 1985. [1]",[],[],,,,
1521882030-18,Santos (2),,Santos Ltd. (株式会社サントス) appears to be another company started and headed by Takeshi Tozu (戸津猛) after his previous company of the same name was acquired by Sega.,[],[],,,,
1521882304-151,Japan System Supply,,"Japan System Supply Ltd. (日本システムサプライ株式会社) was an Osaka-based developer and publisher established on September 25, 1985, that also produced educational and Internet software (not included below). [1] The company went out of business around October 2000. [2] Katsumi Kawamura (河村克己) was the CEO. [3]",[],[],,,,
1521882195-98,Monarch Development,,"Santa Clara, California, United States-based company headed by Kenneth L. Hurley [1]",['United States'],['Santa Clara'],,,,
