"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"フューパック",,,,,"http://www.fupac.co.jp/","jp","Japan","JP"
,"スティング",,,,,"http://www.sting.co.jp/","jp","Japan","JP"
,"シムス",,,,,"http://www.sims.co.jp/","jp","Japan","JP"
,"TOPCAT",,,,,"http://www.topcat.tc/","tc","Turks and Caicos Islands","N/A"
,"アートスケープ",,,,,"http://www.artscape.co.jp/","jp","Japan","N/A"
,"マシス",,,,,"http://www.masys.co.jp/","jp","Japan","JP"
,"ArionDigitalSupport名古屋",,,,,"http://member.nifty.ne.jp/ADSN/index.html","jp","Japan","JP"
,"EMU",,,,,"http://www.hf-emu.net/","net",,"N/A"
,"マイクロキャビン",,,,,"http://www.microcabin.co.jp/","jp","Japan","JP"
,"ゲーム・アニメのシナリオ　エッジワークス",,,,,"http://www.edge-works.co.jp","jp","Japan","JP"
,"テクノソフト",,,,,"http://www.tecnosoft.com/","com",,"JP"
,"季節の日",,,,,"http://www.amigo.ne.jp/~okumura/index.html","jp","Japan","JP"
,"ゴンドラ",,,,,"http://home.catv.ne.jp/dd/gondla/main.html","jp","Japan","JP"
,"アリカ",,,,,"http://www.arika.co.jp/","jp","Japan","JP"
,"たき工房",,,,,"http://www.taki.co.jp/","jp","Japan","JP"
,"ギルガメッシュ戦記",,,,,"http://www3.big.or.jp/~wanpaku/FFXI/","jp","Japan","JP"
,"スタジオメビウス",,,,,"http://www.studio-mebius.co.jp/","jp","Japan","N/A"
,"アフェクト",,,,,"http://www.affect.co.jp/","jp","Japan","JP"
,"サイク",,,,,"http://www.cyc-soft.co.jp/","jp","Japan","N/A"
,"サイオ",,,,,"http://www.scio.co.jp/","jp","Japan","JP"
,"EXCEED THE LIMIT!!",,,,,"http://plaza.rakuten.co.jp/exceedlimit/","jp","Japan","JP"
,"ウィンキーソフト",,,,,"http://www.winky.co.jp/","jp","Japan","N/A"
,"HSPセンター",,,,,"http://www.hspcenter.com/","com",,"JP"
,"ドリームキューブ",,,,,"http://www.dreamcube.com/","com",,"US"
,"アボガドパワーズ",,,,,"http://www.scarecrow.co.jp/","jp","Japan","JP"
,"GEMEINSCHAFT OFFICIAL WEB SITE",,,,,"http://www.gemeinschaft.jp/","jp","Japan","N/A"
,"すきやきのゲームアルゴリズムとゲームプログラミング",,,,,"http://www.c3.club.kyutech.ac.jp/~sukiyaki/","jp","Japan","N/A"
,"セレン",,,,,"http://www.selen.ag/","ag","Antigua and Barbuda","N/A"
,"オフィスジーン",,,,,"http://www.jean.co.jp/","jp","Japan","JP"
,"ぱじゃまソフト",,,,,"http://www.pajamas.ne.jp/","jp","Japan","JP"
,"Britannia　観光案内所",,,,,"http://member.nifty.ne.jp/kamurai/","jp","Japan","JP"
,"カルチャーブレーン",,,,,"http://www.culturebrain.co.jp/","jp","Japan","JP"
,"ねこねこソフト",,,,,"http://www.din.or.jp/~nekoneko/","jp","Japan","JP"
,"し～くえんす",,,,,"http://www.aquarium-soft.com/sequence/","com",,"SE"
,"無料のゲーム屋さん『ふりーむ！』",,,,,"http://www.freem.ne.jp/","jp","Japan","JP"
,"ザウス",,,,,"http://www.xuse.co.jp/","jp","Japan","JP"
,"ポノス",,,,,"http://www.ponos.co.jp/","jp","Japan","JP"
,"エイムス",,,,,"http://www.ams-net.co.jp/","jp","Japan","N/A"
,"____学園三国志ファンページ____",,,,,"http://s1.kcn-tv.ne.jp/users/syo/gaku3fan/index.html","jp","Japan","JP"
,"無料オンラインRPG「Infinity」",,,,,"http://air.ath.cx/~infinity/pc/","cx","Christmas Island","N/A"
,"スマートシステム",,,,,"http://www.st.rim.or.jp/~smart/","jp","Japan","JP"
,"サイバーフロント",,,,,"http://www.cyberfront.co.jp/","jp","Japan","JP"
,"Fishcafe",,,,,"http://fishcafe.suki.gr.jp/","jp","Japan","N/A"
,"エイチアイ",,,,,"http://www.hicorp.co.jp/","jp","Japan","JP"
,"アクアウェイブ",,,,,"http://www.aquawave.co.jp/","jp","Japan","N/A"
,"マグノリア",,,,,"http://www.magnolia.co.jp/","jp","Japan","JP"
,"MAGURO ONLINE",,,,,"http://www2s.biglobe.ne.jp/~maekawa/index.htm","jp","Japan","JP"
,"StudioGIW（スタジオギウ）",,,,,"http://www.page.sannet.ne.jp/m-sky/game/","jp","Japan","JP"
,"オーバーワークス",,,,,"http://www.o-works.co.jp/","jp","Japan","JP"
,"Charming Square Garden",,,,,"http://www.os.rim.or.jp/~charm/","jp","Japan","JP"
,"旧ジャレコ（ＰＣＣＷ）",,,,,"http://www.jaleco.co.jp/","jp","Japan","N/A"
,"KANON系サーチエンジン　うぐぅ",,,,,"http://member.nifty.ne.jp/ugoo/","jp","Japan","JP"
,"灯～ともしび～",,,,,"http://www.tomoshibi.net/","net",,"JP"
,"東亜プランの社長『ポエム五十嵐』",,,,,"http://www.tcup5.com/514/manchan.html","com",,"JP"
,"MASTER LOM",,,,,"http://hc7.seikyou.ne.jp/home/master-lom/","jp","Japan","JP"
,"プロダクションＩＧ",,,,,"http://www.production-ig.co.jp/","jp","Japan","JP"
,"チュンソフト",,,,,"http://www.chunsoft.co.jp/","jp","Japan","JP"
,"受メロサイト",,,,,"http://www.ukemero.com/","com",,"SC"
,"ジャスト",,,,,"http://www.cyborg.ne.jp/~jast/","jp","Japan","JP"
,"イマジニア",,,,,"http://www.imagineer.co.jp/","jp","Japan","JP"
,"Blizzard Entertainment",,,,,"http://www.blizzard.com/","com",,"IE"
,"シグナルトーク・コーポレーション",,,,,"http://www.signaltalk.com/","com",,"JP"
,"ウィッチ",,,,,"http://www.witch.gr.jp/","jp","Japan","N/A"
,"パリティビット",,,,,"http://www.paritybit.co.jp/","jp","Japan","JP"
,"ぷちゆ～み",,,,,"http://www.ume.gr.jp/petit/","jp","Japan","JP"
,"ネメシス",,,,,"http://www.nemesys.co.jp/","jp","Japan","JP"
,"ギャルゲドットコム",,,,,"http://www.galge.com/","com",,"N/A"
,"ユナイテッド・ゲーム・アーティスツ",,,,,"http://www.u-ga.com/","com",,"JP"
,"ピンクパイナップル",,,,,"http://www.pinkpineapple.co.jp/","jp","Japan","JP"
,"株式会社テクノブレインホームページ",,,,,"http://www.technobrain.com/","com",,"JP"
,"リズミックス",,,,,"http://www.rythmics.co.jp/","jp","Japan","N/A"
,"私のおもちゃ箱",,,,,"http://www005.upp.so-net.ne.jp/h-masuda/index.html","jp","Japan","JP"
,"ユービーアイソフト",,,,,"http://www.ubisoft.co.jp/","jp","Japan","CA"
,"ＫＴファクトリー",,,,,"http://www.ktfactory.co.jp/","jp","Japan","JP"
,"ドールハウス",,,,,"http://www.dollhouse.co.jp/","jp","Japan","N/A"
,"ANIM",,,,,"http://www.sis.iowave.co.jp/crowd/index.html","jp","Japan","N/A"
