wkp,name_en,name_ja
http://www.wikidata.org/entity/Q73801,Microsoft Studios,マイクロソフトゲームスタジオ
http://www.wikidata.org/entity/Q94893,Rockstar North,Rockstar North
http://www.wikidata.org/entity/Q94912,Rockstar Games,Rockstar Games
http://www.wikidata.org/entity/Q94933,Take-Two Interactive,テイクツー・インタラクティブ
http://www.wikidata.org/entity/Q94937,2K Games,2K Games
http://www.wikidata.org/entity/Q780528,Atlus,アトラス
http://www.wikidata.org/entity/Q782028,Game Freak,ゲームフリーク
http://www.wikidata.org/entity/Q795583,Neowiz Games,NeoWiz Japan
http://www.wikidata.org/entity/Q488551,Pentavision,PENTAVISION
http://www.wikidata.org/entity/Q494614,Sierra Entertainment,シエラエンターテインメント
http://www.wikidata.org/entity/Q1137822,Gala Inc.,ガーラ
http://www.wikidata.org/entity/Q1140960,Sonic Team,ソニックチーム
http://www.wikidata.org/entity/Q1141245,Insomniac Games,インソムニアックゲームズ
http://www.wikidata.org/entity/Q1142226,Nihon Falcom,日本ファルコム
http://www.wikidata.org/entity/Q1707830,Sanzaru Games,サンザルゲームズ
http://www.wikidata.org/entity/Q1750959,Rockstar Leeds,Rockstar Leeds
http://www.wikidata.org/entity/Q1774120,Kee Games,キーゲームズ
http://www.wikidata.org/entity/Q1781791,Namco Tales Studio,ナムコ・テイルズスタジオ
http://www.wikidata.org/entity/Q1782700,Infogrames Entertainment,インフォグラム
http://www.wikidata.org/entity/Q115129,Silicon Knights,シリコンナイツ
http://www.wikidata.org/entity/Q116371,Q-Games,キュー・ゲームス
http://www.wikidata.org/entity/Q123018,Nintendo Software Technology,Nintendo Software Technology Corporation
http://www.wikidata.org/entity/Q130744,Playground Games,プレイグランドゲーム
http://www.wikidata.org/entity/Q133445,2K Sports,2K Sports
http://www.wikidata.org/entity/Q133482,Visual Concepts,Visual Concepts
http://www.wikidata.org/entity/Q840550,Alfa System,アルファ・システム
http://www.wikidata.org/entity/Q845047,Koei,コーエー
http://www.wikidata.org/entity/Q1143659,Nippon Ichi Software,日本一ソフトウェア
http://www.wikidata.org/entity/Q1148541,VisualArt's,ビジュアルアーツ
http://www.wikidata.org/entity/Q1172213,Data East,データイースト
http://www.wikidata.org/entity/Q1187058,Twilight Frontier,黄昏フロンティア
http://www.wikidata.org/entity/Q507269,"Bandai Co., Ltd.",バンダイ
http://www.wikidata.org/entity/Q512003,Creatures,クリーチャーズ
http://www.wikidata.org/entity/Q527336,"Atari, Inc.",GTインタラクティブ
http://www.wikidata.org/entity/Q531167,Retro Studios,レトロスタジオ
http://www.wikidata.org/entity/Q150001,Intelligent Systems,インテリジェントシステムズ
http://www.wikidata.org/entity/Q161223,07th Expansion,07th Expansion
http://www.wikidata.org/entity/Q164716,Crytek,Crytek
http://www.wikidata.org/entity/Q170420,Nintendo Entertainment Analysis & Development,任天堂情報開発本部
http://www.wikidata.org/entity/Q1812475,Stainless Games,Stainless Games
http://www.wikidata.org/entity/Q1849951,Milestone,マイルストーン
http://www.wikidata.org/entity/Q1868589,Loki Software,Loki Software
http://www.wikidata.org/entity/Q542018,SCE Worldwide Studios,SCEワールドワイド・スタジオ
http://www.wikidata.org/entity/Q553658,Deep Silver,ディープ・シルバー
http://www.wikidata.org/entity/Q562078,Nexon,NEXON
http://www.wikidata.org/entity/Q564275,Red Entertainment,レッド・エンタテインメント
http://www.wikidata.org/entity/Q860398,Active Enterprises,Active Enterprises
http://www.wikidata.org/entity/Q860580,Tencent Holdings,テンセント
http://www.wikidata.org/entity/Q864258,Akabeisoft2,AKABEiSOFT2
http://www.wikidata.org/entity/Q173941,Electronic Arts,エレクトロニック・アーツ
http://www.wikidata.org/entity/Q174561,Kemco,ケムコ
http://www.wikidata.org/entity/Q1923795,Yuke's,ユークス
http://www.wikidata.org/entity/Q570081,Quantic Dream,クアンティック・ドリーム
http://www.wikidata.org/entity/Q580866,THQ,THQ
http://www.wikidata.org/entity/Q869104,Core Design,コア・デザイン
http://www.wikidata.org/entity/Q870095,Rovio Entertainment,ロビオ・エンターテインメント
http://www.wikidata.org/entity/Q871504,Giga,戯画
http://www.wikidata.org/entity/Q1188050,Treasure,トレジャー
http://www.wikidata.org/entity/Q1191897,Grasshopper Manufacture,グラスホッパー・マニファクチュア
http://www.wikidata.org/entity/Q1193116,Turtle Rock Studios,タートル・ロック・スタジオ
http://www.wikidata.org/entity/Q1193678,Origin Systems,Origin Systems
http://www.wikidata.org/entity/Q1194689,Bandai Namco Entertainment,バンダイナムコエンターテインメント
http://www.wikidata.org/entity/Q890779,Bohemia Interactive,Bohemia Interactive Studio
http://www.wikidata.org/entity/Q907357,Monolith Productions,Monolith Productions
http://www.wikidata.org/entity/Q912291,Mitchell Corporation,ミッチェル
http://www.wikidata.org/entity/Q600338,Big Huge Games,ビッグ・ヒュージ・ゲームス
http://www.wikidata.org/entity/Q601299,Video System,ビデオシステム
http://www.wikidata.org/entity/Q611487,Bullfrog Productions,ブルフロッグ
http://www.wikidata.org/entity/Q178824,Blizzard Entertainment,ブリザード・エンターテインメント
http://www.wikidata.org/entity/Q185613,Nival,ニーバル
http://www.wikidata.org/entity/Q188273,Ubisoft,ユービーアイソフト
http://www.wikidata.org/entity/Q1204929,2K Marin,2K Marin
http://www.wikidata.org/entity/Q1207809,Gust Co. Ltd.,ガスト
http://www.wikidata.org/entity/Q1224739,Digital Extremes,デジタル・エクストリームス
http://www.wikidata.org/entity/Q1229035,Disney Interactive Studios,ディズニー・インタラクティブ・スタジオ
http://www.wikidata.org/entity/Q1239326,Monolith Soft,モノリスソフト
http://www.wikidata.org/entity/Q1930918,U.S. Gold,U.S. Gold
http://www.wikidata.org/entity/Q1933462,SCE Studio Liverpool,SCEスタジオ・リバプール
http://www.wikidata.org/entity/Q1947354,Vicarious Visions,バイカリアス・ビジョンズ
http://www.wikidata.org/entity/Q1985279,AlphaDream Corporation,アルファドリーム
http://www.wikidata.org/entity/Q2018532,Love-de-Lic,ラブデリック
http://www.wikidata.org/entity/Q2020713,Rockstar Vancouver,ロックスター・バンクーバー
http://www.wikidata.org/entity/Q916714,Sucker Punch Productions,サッカーパンチプロダクションズ
http://www.wikidata.org/entity/Q918638,Funcom,ファンコム
http://www.wikidata.org/entity/Q927312,Simtex,シムテックス
http://www.wikidata.org/entity/Q928122,Crystal Dynamics,クリスタル・ダイナミックス
http://www.wikidata.org/entity/Q1251435,Double Fine Productions,ダブルファインプロダクションズ
http://www.wikidata.org/entity/Q1296433,Technosoft,テクノソフト
http://www.wikidata.org/entity/Q1317078,Sora Ltd.,ソラ
http://www.wikidata.org/entity/Q1318002,Sledgehammer Games,スレッジハンマーゲームズ
http://www.wikidata.org/entity/Q189557,ZeniMax Media,ゼニマックス・メディア
http://www.wikidata.org/entity/Q193559,Valve Corporation,Valve Corporation
http://www.wikidata.org/entity/Q195722,Grateful Days,グレイトフルデイズ
http://www.wikidata.org/entity/Q611508,Creative Assembly,クリエイティブ・アッセンブリー
http://www.wikidata.org/entity/Q616651,Triumph Studios,Triumph Studios
http://www.wikidata.org/entity/Q617752,Irem,アイレムソフトウェアエンジニアリング
http://www.wikidata.org/entity/Q625647,Netmarble,ネットマーブル
http://www.wikidata.org/entity/Q628249,Interplay Entertainment,インタープレイ (アメリカ合衆国のゲーム会社)
http://www.wikidata.org/entity/Q642707,Rare Ltd.,レア
http://www.wikidata.org/entity/Q205500,Zipper Interactive,ジッパーインタラクティブ
http://www.wikidata.org/entity/Q207784,Square Enix,スクウェア・エニックス
http://www.wikidata.org/entity/Q207922,Atari,アタリ
http://www.wikidata.org/entity/Q2039757,Takumi Corporation,タクミコーポレーション
http://www.wikidata.org/entity/Q2054310,Nintendo Software Planning & Development,任天堂企画開発本部
http://www.wikidata.org/entity/Q2062521,GRIN,GRIN
http://www.wikidata.org/entity/Q196259,NetEase,網易
http://www.wikidata.org/entity/Q200491,"Activision Publishing, Inc.",アクティビジョン
http://www.wikidata.org/entity/Q204474,id Software,id Software
http://www.wikidata.org/entity/Q651140,Media Molecule,メディアモレキュール
http://www.wikidata.org/entity/Q652421,MicroProse,マイクロプローズ
http://www.wikidata.org/entity/Q655656,Heavy Iron Studios,ヘブンリー・アイロン・スタジオ
http://www.wikidata.org/entity/Q1340558,Ready at Dawn,レディアットドーン
http://www.wikidata.org/entity/Q1343212,Enix,エニックス
http://www.wikidata.org/entity/Q1344080,Jaleco,ジャレコ
http://www.wikidata.org/entity/Q1358743,Technōs Japan Corporation,テクノスジャパン
http://www.wikidata.org/entity/Q212076,"2015, Inc.",2015 (企業)
http://www.wikidata.org/entity/Q216611,LucasArts,ルーカスアーツ
http://www.wikidata.org/entity/Q217493,Paradox Interactive,パラドックスインタラクティブ
http://www.wikidata.org/entity/Q656710,SCE Santa Monica Studio,SCEサンタモニカスタジオ
http://www.wikidata.org/entity/Q662567,Ariolasoft,アリオラソフト
http://www.wikidata.org/entity/Q668735,Big Fish Games,ビッグ フィッシュ ゲームズ
http://www.wikidata.org/entity/Q674686,Level-5,レベルファイブ
http://www.wikidata.org/entity/Q2066242,Techland,テックランド
http://www.wikidata.org/entity/Q219758,BioWare,バイオウェア
http://www.wikidata.org/entity/Q220317,Maxis,マクシス
http://www.wikidata.org/entity/Q2107938,"Turbine, Inc.",ターバイン
http://www.wikidata.org/entity/Q2130108,Toys For Bob,トイズ・フォー・ボブ
http://www.wikidata.org/entity/Q2255185,KID,KID
http://www.wikidata.org/entity/Q2271746,Tose Co.,トーセ
http://www.wikidata.org/entity/Q679933,Eidos Interactive,アイドス
http://www.wikidata.org/entity/Q684425,Bethesda Softworks,ベセスダ・ソフトワークス
http://www.wikidata.org/entity/Q684780,Camelot Software Planning,キャメロット
http://www.wikidata.org/entity/Q1371744,Banpresto,バンプレスト
http://www.wikidata.org/entity/Q1372258,Tokuma Shoten,徳間書店
http://www.wikidata.org/entity/Q1377647,Team Shanghai Alice,上海アリス幻樂団
http://www.wikidata.org/entity/Q1388106,NStigate Games,ニヒリスティックソフトウェア
