"wkp","name_en","name_ja","hq_loc_label"
"http://www.wikidata.org/entity/Q864258","Akabeisoft2","AKABEiSOFT2","Japan"
"http://www.wikidata.org/entity/Q871504","Giga","戯画","Japan"
"http://www.wikidata.org/entity/Q932631","Team Ico",,"Japan"
"http://www.wikidata.org/entity/Q1045037","AliceSoft","アリスソフト","Japan"
"http://www.wikidata.org/entity/Q1054754","Type-Moon","TYPE-MOON","Japan"
"http://www.wikidata.org/entity/Q1102774","Clover Studio","クローバースタジオ","Japan"
"http://www.wikidata.org/entity/Q779114","Zen Studios",,"Budapest"
"http://www.wikidata.org/entity/Q601299","Video System","ビデオシステム","Japan"
"http://www.wikidata.org/entity/Q1129295","Mojang","Mojang","Stockholm"
"http://www.wikidata.org/entity/Q339565","Sega Wow","セガワウ","Japan"
"http://www.wikidata.org/entity/Q726675","FarSight Studios",,"United States of America"
"http://www.wikidata.org/entity/Q1130046","LightBox Interactive",,"Austin"
"http://www.wikidata.org/entity/Q94912","Rockstar Games","Rockstar Games","New York City"
"http://www.wikidata.org/entity/Q94933","Take-Two Interactive","テイクツー・インタラクティブ","New York City"
"http://www.wikidata.org/entity/Q286153","Kaos Studios","ケイオス・スタジオ","New York City"
"http://www.wikidata.org/entity/Q1131475","Looking Glass Studios","ルッキンググラススタジオ","Cambridge"
"http://www.wikidata.org/entity/Q2291232","Toaplan","東亜プラン","Japan"
"http://www.wikidata.org/entity/Q2408214","Human Entertainment","ヒューマン","Japan"
"http://www.wikidata.org/entity/Q527336","Atari, Inc.","GTインタラクティブ","New York City"
"http://www.wikidata.org/entity/Q1129765","Warashi","童","Shibuya"
"http://www.wikidata.org/entity/Q7196883","Pionesoft",,"Japan"
"http://www.wikidata.org/entity/Q571862","Page 44 Studios",,"San Francisco"
"http://www.wikidata.org/entity/Q2310169","Spieleentwicklungskombinat",,"Berlin"
"http://www.wikidata.org/entity/Q1786683","Playfish",,"London"
"http://www.wikidata.org/entity/Q1889791","Splash Damage",,"London"
"http://www.wikidata.org/entity/Q2083043","Rockstar London",,"London"
"http://www.wikidata.org/entity/Q2307159","Rocksteady Studios","ロックステディ・スタジオ","London"
"http://www.wikidata.org/entity/Q2310496","Palace Software",,"London"
"http://www.wikidata.org/entity/Q577108","Fox Interactive",,"Los Angeles"
"http://www.wikidata.org/entity/Q597020","Danger Close Games",,"Los Angeles"
"http://www.wikidata.org/entity/Q655656","Heavy Iron Studios","ヘブンリー・アイロン・スタジオ","Los Angeles"
"http://www.wikidata.org/entity/Q7169533","Perpetual Entertainment",,"San Francisco"
"http://www.wikidata.org/entity/Q216611","LucasArts","ルーカスアーツ","San Francisco"
"http://www.wikidata.org/entity/Q245772","Zynga","ジンガ","San Francisco"
"http://www.wikidata.org/entity/Q7427715","Savage Entertainment",,"Los Angeles"
"http://www.wikidata.org/entity/Q582666","Nitrome",,"London"
"http://www.wikidata.org/entity/Q613801","Kuju Ltd.",,"London"
"http://www.wikidata.org/entity/Q679933","Eidos Interactive","アイドス","London"
"http://www.wikidata.org/entity/Q304980","Nebula Device",,"Berlin"
"http://www.wikidata.org/entity/Q7112063","Outfit7",,"London"
"http://www.wikidata.org/entity/Q250426","EA Mobile",,"Los Angeles"
"http://www.wikidata.org/entity/Q286780","thatgamecompany",,"Los Angeles"
"http://www.wikidata.org/entity/Q514059","Nadeo",,"Paris"
"http://www.wikidata.org/entity/Q570081","Quantic Dream","クアンティック・ドリーム","Paris"
"http://www.wikidata.org/entity/Q689093","Gameloft","ゲームロフト","Paris"
"http://www.wikidata.org/entity/Q753684","Atari, SA",,"Paris"
"http://www.wikidata.org/entity/Q930222","Sir-Tech",,"United States of America"
"http://www.wikidata.org/entity/Q7379839","Runecraft",,"United Kingdom"
"http://www.wikidata.org/entity/Q266418","SCE London Studio",,"London"
"http://www.wikidata.org/entity/Q784330","Flagship Studios",,"San Francisco"
"http://www.wikidata.org/entity/Q937967","Planet Moon Studios",,"San Francisco"
"http://www.wikidata.org/entity/Q976444","Frog City Software",,"San Francisco"
"http://www.wikidata.org/entity/Q1045344","The Learning Company",,"San Francisco"
"http://www.wikidata.org/entity/Q7050580","Nordcurrent",,"Vilnius"
"http://www.wikidata.org/entity/Q71930","Cryo Interactive",,"Paris"
"http://www.wikidata.org/entity/Q2300984","Titus Software","タイタス・ソフトウェア","Paris"
"http://www.wikidata.org/entity/Q2326128","Yullaby",,"Paris"
"http://www.wikidata.org/entity/Q2353010","Cyanide",,"Paris"
"http://www.wikidata.org/entity/Q7098994","CD Projekt",,"Warsaw"
"http://www.wikidata.org/entity/Q302251","Frontier Developments","フロンティア・ディベロップメント","Cambridge"
"http://www.wikidata.org/entity/Q7203541","Playstos Entertainment",,"Milan"
"http://www.wikidata.org/entity/Q974657","Wooga",,"Berlin"
"http://www.wikidata.org/entity/Q207922","Atari","アタリ","Lyon"
"http://www.wikidata.org/entity/Q923047","989 Studios",,"Los Angeles"
"http://www.wikidata.org/entity/Q947583","Gray Matter Interactive",,"Los Angeles"
"http://www.wikidata.org/entity/Q970264","Neversoft",,"Los Angeles"
"http://www.wikidata.org/entity/Q1060165","Riot Games","ライオット・ゲームズ","Los Angeles"
"http://www.wikidata.org/entity/Q7202938","PlayFlock",,"Moscow"
"http://www.wikidata.org/entity/Q580866","THQ","THQ","California"
"http://www.wikidata.org/entity/Q7365709","Ronimo Games",,"Utrecht"
"http://www.wikidata.org/entity/Q388228","Creative Assembly Sofia",,"Sofia"
"http://www.wikidata.org/entity/Q188273","Ubisoft","ユービーアイソフト","Rennes"
"http://www.wikidata.org/entity/Q758872","Audiogenic",,"United Kingdom"
"http://www.wikidata.org/entity/Q2080076","Behaviour Interactive",,"Montreal"
"http://www.wikidata.org/entity/Q1925056","Metanet Software",,"Toronto"
"http://www.wikidata.org/entity/Q7180503","Phantagram","ファンタグラム","South Korea"
"http://www.wikidata.org/entity/Q743717","Irrational Games","Irrational Games","Boston"
"http://www.wikidata.org/entity/Q500799","Ubisoft Toronto",,"Toronto"
"http://www.wikidata.org/entity/Q734715","Pseudo Interactive",,"Toronto"
"http://www.wikidata.org/entity/Q7353288","Robomodo",,"Chicago"
"http://www.wikidata.org/entity/Q7457322","Seven Lights",,"Chicago"
"http://www.wikidata.org/entity/Q1782700","Infogrames Entertainment","インフォグラム","Lyon"
"http://www.wikidata.org/entity/Q1799063","People Can Fly",,"Warsaw"
"http://www.wikidata.org/entity/Q821910","Team Soho",,"London"
"http://www.wikidata.org/entity/Q863618","Feral Interactive",,"London"
"http://www.wikidata.org/entity/Q980729","Firefly Studios",,"London"
"http://www.wikidata.org/entity/Q337910","Guerrilla Games","ゲリラゲームズ","Amsterdam"
"http://www.wikidata.org/entity/Q7168080","Perfect World",,"Beijing"
"http://www.wikidata.org/entity/Q483233","Ntreev Soft","Ntreev Soft","South Korea"
"http://www.wikidata.org/entity/Q1783815","Ninja Theory",,"Cambridge"
"http://www.wikidata.org/entity/Q185613","Nival","ニーバル","Moscow"
"http://www.wikidata.org/entity/Q417230","Akella",,"Moscow"
"http://www.wikidata.org/entity/Q1747400","Paradox France",,"Grenoble"
"http://www.wikidata.org/entity/Q662567","Ariolasoft","アリオラソフト","Germany"
"http://www.wikidata.org/entity/Q1984338","Gaijin Entertainment",,"Moscow"
