wkp,name_en,name_ja
Q73801,Microsoft Studios,マイクロソフトゲームスタジオ
Q94893,Rockstar North,Rockstar North
Q94912,Rockstar Games,Rockstar Games
Q94933,Take-Two Interactive,テイクツー・インタラクティブ
Q94937,2K Games,2K Games
Q780528,Atlus,アトラス
Q782028,Game Freak,ゲームフリーク
Q795583,Neowiz Games,NeoWiz Japan
Q488551,Pentavision,PENTAVISION
Q494614,Sierra Entertainment,シエラエンターテインメント
Q1137822,Gala Inc.,ガーラ
Q1140960,Sonic Team,ソニックチーム
Q1141245,Insomniac Games,インソムニアックゲームズ
Q1142226,Nihon Falcom,日本ファルコム
Q1707830,Sanzaru Games,サンザルゲームズ
Q1750959,Rockstar Leeds,Rockstar Leeds
Q1774120,Kee Games,キーゲームズ
Q1781791,Namco Tales Studio,ナムコ・テイルズスタジオ
Q1782700,Infogrames Entertainment,インフォグラム
Q115129,Silicon Knights,シリコンナイツ
Q116371,Q-Games,キュー・ゲームス
Q123018,Nintendo Software Technology,Nintendo Software Technology Corporation
Q130744,Playground Games,プレイグランドゲーム
Q133445,2K Sports,2K Sports
Q133482,Visual Concepts,Visual Concepts
Q840550,Alfa System,アルファ・システム
Q845047,Koei,コーエー
Q1143659,Nippon Ichi Software,日本一ソフトウェア
Q1148541,VisualArt's,ビジュアルアーツ
Q1172213,Data East,データイースト
Q1187058,Twilight Frontier,黄昏フロンティア
Q507269,"Bandai Co., Ltd.",バンダイ
Q512003,Creatures,クリーチャーズ
Q527336,"Atari, Inc.",GTインタラクティブ
Q531167,Retro Studios,レトロスタジオ
Q150001,Intelligent Systems,インテリジェントシステムズ
Q161223,07th Expansion,07th Expansion
Q164716,Crytek,Crytek
Q170420,Nintendo Entertainment Analysis & Development,任天堂情報開発本部
Q1812475,Stainless Games,Stainless Games
Q1849951,Milestone,マイルストーン
Q1868589,Loki Software,Loki Software
Q542018,SCE Worldwide Studios,SCEワールドワイド・スタジオ
Q553658,Deep Silver,ディープ・シルバー
Q562078,Nexon,NEXON
Q564275,Red Entertainment,レッド・エンタテインメント
Q860398,Active Enterprises,Active Enterprises
Q860580,Tencent Holdings,テンセント
Q864258,Akabeisoft2,AKABEiSOFT2
Q173941,Electronic Arts,エレクトロニック・アーツ
Q174561,Kemco,ケムコ
Q1923795,Yuke's,ユークス
Q570081,Quantic Dream,クアンティック・ドリーム
Q580866,THQ,THQ
Q869104,Core Design,コア・デザイン
Q870095,Rovio Entertainment,ロビオ・エンターテインメント
Q871504,Giga,戯画
Q1188050,Treasure,トレジャー
Q1191897,Grasshopper Manufacture,グラスホッパー・マニファクチュア
Q1193116,Turtle Rock Studios,タートル・ロック・スタジオ
Q1193678,Origin Systems,Origin Systems
Q1194689,Bandai Namco Entertainment,バンダイナムコエンターテインメント
Q890779,Bohemia Interactive,Bohemia Interactive Studio
Q907357,Monolith Productions,Monolith Productions
Q912291,Mitchell Corporation,ミッチェル
Q600338,Big Huge Games,ビッグ・ヒュージ・ゲームス
Q601299,Video System,ビデオシステム
Q611487,Bullfrog Productions,ブルフロッグ
Q178824,Blizzard Entertainment,ブリザード・エンターテインメント
Q185613,Nival,ニーバル
Q188273,Ubisoft,ユービーアイソフト
Q1204929,2K Marin,2K Marin
Q1207809,Gust Co. Ltd.,ガスト
